Date,SP Sales
30-Sep-19,"1,392.48"
30-Jun-19,"1,378.74"
31-Mar-19,"1,361.47"
31-Dec-18,"1,343.01"
30-Sep-18,"1,325.89"
30-Jun-18,"1,292.84"
31-Mar-18,"1,259.18"
31-Dec-17,"1,231.57"
30-Sep-17,"1,203.10"
30-Jun-17,"1,185.81"
31-Mar-17,"1,169.42"
31-Dec-16,"1,150.68"
30-Sep-16,"1,138.43"
30-Jun-16,"1,131.21"
31-Mar-16,"1,127.97"
31-Dec-15,"1,127.13"
30-Sep-15,"1,136.16"
30-Jun-15,"1,145.54"
31-Mar-15,"1,156.54"
31-Dec-14,"1,163.32"
30-Sep-14,"1,154.86"
30-Jun-14,"1,141.19"
31-Mar-14,"1,126.00"
31-Dec-13,"1,116.81"
30-Sep-13,"1,115.38"
30-Jun-13,"1,104.96"
31-Mar-13,"1,095.81"
31-Dec-12,"1,092.37"
30-Sep-12,"1,076.99"
30-Jun-12,"1,073.99"
31-Mar-12,"1,069.27"
31-Dec-11,"1,052.83"
30-Sep-11,"1,032.93"
30-Jun-11,"1,007.77"
31-Mar-11,981.21
31-Dec-10,962.71
30-Sep-10,945.99
30-Jun-10,932.49
31-Mar-10,918.98
31-Dec-09,908.4
30-Sep-09,902.59
30-Jun-09,943.25
31-Mar-09,998.54
31-Dec-08,"1,042.46"
30-Sep-08,"1,080.41"
30-Jun-08,"1,071.22"
31-Mar-08,"1,048.32"
31-Dec-07,"1,025.08"
30-Sep-07,"1,005.12"
30-Jun-07,986.11
31-Mar-07,965.19
31-Dec-06,952.51
30-Sep-06,936.83
30-Jun-06,917.93
31-Mar-06,898.02
31-Dec-05,874.32
30-Sep-05,851.94
30-Jun-05,828.1
31-Mar-05,806.94
31-Dec-04,788.17
30-Sep-04,756.88
30-Jun-04,739.42
31-Mar-04,726.93
31-Dec-03,710.81
30-Sep-03,697.9
30-Jun-03,684.42
31-Mar-03,678.6
31-Dec-02,674.59
30-Sep-02,697.75
30-Jun-02,710.31
31-Mar-02,718.01
31-Dec-01,736.88
30-Sep-01,738.81
30-Jun-01,748.23
31-Mar-01,751.27
31-Dec-00,745.7